"    5.91894E+02","0"," "," "," "," ","         63","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.92881E+02","0"," "," "," "," ","        252","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.94267E+02","0"," "," "," "," ","         79","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.94465E+02","0"," "," "," "," ","        173","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.96974E+02","0"," "," "," "," ","         43","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.97367E+02","0"," "," "," "," ","        790","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.97506E+02","0"," "," "," "," ","        423","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.98730E+02","0"," "," "," "," ","        118","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.99101E+02","0"," "," "," "," ","        260","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.99413E+02","0"," "," "," "," ","        603","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    5.99663E+02","0"," "," "," "," ","         29","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.00707E+02","0"," "," "," "," ","        287","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.01016E+02","0"," "," "," "," ","        126","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.01368E+02","0"," "," "," "," ","         69","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.02104E+02","0"," "," "," "," ","        294","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.02515E+02","0"," "," "," "," ","         87","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.03044E+02","0"," "," "," "," ","         64","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.03519E+02","0"," "," "," "," ","         50","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.03770E+02","0"," "," "," "," ","        328","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.04322E+02","0"," "," "," "," ","        797","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.04905E+02","0"," "," "," "," ","        222","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.05098E+02","0"," "," "," "," ","         32","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.05937E+02","0"," "," "," "," ","        515","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.06902E+02","0"," "," "," "," ","         49","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.07922E+02","0"," "," "," "," ","        118","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.08803E+02","0"," "," "," "," ","        235","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.10564E+02","0"," "," "," "," ","        214","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.14544E+02","0"," "," "," "," ","        195","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.15199E+02","0"," "," "," "," ","        525","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.18812E+02","0"," "," "," "," ","        314","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.19191E+02","0"," "," "," "," ","        303","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.19822E+02","0"," "," "," "," ","        411","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.20349E+02","0"," "," "," "," ","        653","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.20722E+02","0"," "," "," "," ","        479","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.21250E+02","0"," "," "," "," ","        214","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.22453E+02","0"," "," "," "," ","        285","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.23486E+02","0"," "," "," "," ","        180","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.25742E+02","0"," "," "," "," ","        130","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.29687E+02","0"," "," "," "," ","        200","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.30766E+02","0"," "," "," "," ","        296","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.32728E+02","0"," "," "," "," ","        471","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.37693E+02","0"," "," "," "," ","        493","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.38472E+02","0"," "," "," "," ","        527","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.41190E+02","0"," "," "," "," ","        630","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.41361E+02","0"," "," "," "," ","        203","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.45001E+02","0"," "," "," "," ","         66","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.45728E+02","0"," "," "," "," ","       2095","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.49074E+02","0"," "," "," "," ","        260","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.51236E+02","0"," "," "," "," ","        155","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.53811E+02","0"," "," "," "," ","        200","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"    6.55416E+02","0"," "," "," "," ","        252","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
